Max_Power (W),Boost_Clock (MHz),Core_Speed (MHz),Process (nm),Memory (GB),Memory_Bandwidth (GB/s),Power_Connector,SLI/Crossfire Support
250,1582,931.8667621776505,16,2792.3431903373594,133.48198064035742,14,Yes
250,876,837,28,6144,288.4,10.29451395572666,Yes
375,876,705,28,2792.3431903373594,133.48198064035742,16,Yes
375,915,931.8667621776505,28,2792.3431903373594,133.48198064035742,10.29451395572666,Yes
375,876,705,28,2792.3431903373594,133.48198064035742,16,Yes
375,941,931.8667621776505,28,2792.3431903373594,133.48198064035742,10.29451395572666,Yes
250,1252,1140,28,2792.3431903373594,336.6,14,Yes
450,1089,1000,28,2792.3431903373594,133.48198064035742,10.29451395572666,Yes
250,1089,1000,28,2792.3431903373594,336.6,14,Yes
250,1216,1127,28,2792.3431903373594,336.6,14,Yes
265,980,928,28,6144,288.4,10.29451395572666,Yes
500,876,837,28,2792.3431903373594,133.48198064035742,10.29451395572666,Yes
300,1189.6225218080888,1000,16,2792.3431903373594,384,16,Yes
250,876,837,28,6144,288.4,10.29451395572666,Yes
375,1189.6225218080888,1000,16,2792.3431903373594,512,16,Yes
250,876,837,28,6144,288.4,10.29451395572666,Yes
265,980,937,28,6144,288.4,10.29451395572666,Yes
250,876,837,28,6144,288.4,10.29451395572666,Yes
250,980,889,28,6144,336,14,Yes
250,876,837,28,6144,288.4,10.29451395572666,Yes
250,876,837,28,6144,288.4,14,Yes
47,1189.6225218080888,931.8667621776505,28.836178861788618,128,44.8,10.29451395572666,No
18,1189.6225218080888,931.8667621776505,28.836178861788618,128,4.8,10.29451395572666,No
28,1189.6225218080888,931.8667621776505,28.836178861788618,64,4,10.29451395572666,No
450,1189.6225218080888,931.8667621776505,28.836178861788618,256,41.6,10.29451395572666,No
290,1189.6225218080888,931.8667621776505,28,2792.3431903373594,320,10.29451395572666,Yes
225,1189.6225218080888,931.8667621776505,28.836178861788618,4096,176,10.29451395572666,Yes
75,1189.6225218080888,931.8667621776505,28.836178861788618,2048,102.4,10.29451395572666,Yes
274,1189.6225218080888,931.8667621776505,28,6144,264,10.29451395572666,Yes
154,1189.6225218080888,931.8667621776505,28.836178861788618,2048,115.2,10.29451395572666,Yes
150,1189.6225218080888,931.8667621776505,28,4096,153.6,10.29451395572666,Yes
150,1189.6225218080888,931.8667621776505,28.836178861788618,2048,160,10.29451395572666,Yes
26,680,630,28,2048,28.8,10.29451395572666,No
151,1189.6225218080888,931.8667621776505,28.836178861788618,1024,108.8,10.29451395572666,Yes
138,1189.6225218080888,931.8667621776505,28.836178861788618,2048,128,10.29451395572666,Yes
75,1189.6225218080888,931.8667621776505,40,2048,128,10.29451395572666,Yes
74,1189.6225218080888,931.8667621776505,40,1024,64,10.29451395572666,Yes
56,1189.6225218080888,931.8667621776505,55,512,28.8,10.29451395572666,No
48,1189.6225218080888,931.8667621776505,55,256,22.4,10.29451395572666,No
235,1189.6225218080888,931.8667621776505,28,2792.3431903373594,320,14,Yes
225,1189.6225218080888,900,28,2792.3431903373594,264,14,Yes
250,1189.6225218080888,931.8667621776505,28,4096,147.2,10.29451395572666,Yes
225,1189.6225218080888,900,28,6144,264,14,Yes
150,1189.6225218080888,931.8667621776505,28.836178861788618,4096,153.6,10.29451395572666,No
274,1189.6225218080888,931.8667621776505,28,3072,264,10.29451395572666,Yes
175,1189.6225218080888,931.8667621776505,28,3072,240,10.29451395572666,Yes
75,1189.6225218080888,931.8667621776505,40,1024,28.8,10.29451395572666,No
65,1189.6225218080888,931.8667621776505,28,2792.3431903373594,34.1,10.29451395572666,No
225,1189.6225218080888,931.8667621776505,28.836178861788618,4096,153.6,10.29451395572666,No
95,836,931.8667621776505,28,2792.3431903373594,34.1,10.29451395572666,No
95,836,931.8667621776505,28,2792.3431903373594,34.1,10.29451395572666,No
95,1189.6225218080888,931.8667621776505,28,2792.3431903373594,34.1,10.29451395572666,No
95,1189.6225218080888,931.8667621776505,28,2792.3431903373594,34.1,10.29451395572666,No
375,1189.6225218080888,825,28,6144,240,10.29451395572666,Yes
160,1189.6225218080888,931.8667621776505,55,2048,108.8,10.29451395572666,No
